starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 14 14:11:15 2015	1447506675	0	2997	2997	2997
Sat Nov 14 14:11:15 2015	1447506675	0	3040	3040	3040
Sat Nov 14 14:11:15 2015	1447506675	0	3046	3046	3046
Sat Nov 14 14:11:15 2015	1447506675	0	3092	3092	3092
Sat Nov 14 14:11:15 2015	1447506675	0	3225	3225	3225
Sat Nov 14 14:11:15 2015	1447506675	0	3340	3340	3340
Sat Nov 14 14:11:15 2015	1447506675	0	3345	3345	3345
Sat Nov 14 14:10:47 2015	1447506647	0	3357	3358	3357
Sat Nov 14 14:10:47 2015	1447506647	0	3414	3414	3414
Sat Nov 14 14:10:47 2015	1447506647	0	3414	3414	3414
Sat Nov 14 14:10:47 2015	1447506647	0	3423	3423	3423
Sat Nov 14 14:11:04 2015	1447506664	0	3428	3428	3428
Sat Nov 14 14:11:14 2015	1447506674	0	3432	3432	3432
Sat Nov 14 14:11:14 2015	1447506674	0	3434	3434	3431
Sat Nov 14 14:10:54 2015	1447506654	0	3434	3434	3434
Sat Nov 14 14:11:11 2015	1447506671	0	3434	3434	3434
Sat Nov 14 14:11:14 2015	1447506674	0	3439	3439	3439
Sat Nov 14 14:10:54 2015	1447506654	0	3440	3440	3440
Sat Nov 14 14:10:50 2015	1447506650	0	3442	3442	3442
Sat Nov 14 14:10:50 2015	1447506650	0	3452	3452	3452
Sat Nov 14 14:10:54 2015	1447506654	0	3452	3453	3452
Sat Nov 14 14:10:50 2015	1447506650	0	3453	3453	3453
Sat Nov 14 14:10:54 2015	1447506654	0	3454	3454	3453
Sat Nov 14 14:11:04 2015	1447506664	0	3456	3456	3456
Sat Nov 14 14:11:04 2015	1447506664	0	3460	3460	3459
Sat Nov 14 14:10:43 2015	1447506643	7	3452	3460	3452
Sat Nov 14 14:10:43 2015	1447506643	1	3459	3460	3459
Sat Nov 14 14:10:54 2015	1447506654	0	3462	3462	3462
Sat Nov 14 14:11:11 2015	1447506671	0	3463	3464	3463
Sat Nov 14 14:10:47 2015	1447506647	0	3468	3468	3467
Sat Nov 14 14:10:54 2015	1447506654	0	3469	3470	3469
Sat Nov 14 14:11:04 2015	1447506664	0	3470	3470	3469
Sat Nov 14 14:11:07 2015	1447506667	0	3470	3470	3470
Sat Nov 14 14:11:05 2015	1447506665	0	3470	3470	3470
Sat Nov 14 14:11:12 2015	1447506672	0	3476	3476	3476
Sat Nov 14 14:10:50 2015	1447506650	0	3476	3476	3476
Sat Nov 14 14:11:12 2015	1447506672	0	3481	3481	3481
Sat Nov 14 14:10:47 2015	1447506647	0	3485	3485	3484
Sat Nov 14 14:11:05 2015	1447506665	0	3485	3486	3485
Sat Nov 14 14:10:43 2015	1447506643	7	3480	3487	3479
Sat Nov 14 14:11:11 2015	1447506671	0	3488	3488	3488
Sat Nov 14 14:11:04 2015	1447506664	0	3490	3490	3490
Sat Nov 14 14:11:12 2015	1447506672	0	3492	3492	3492
Sat Nov 14 14:11:11 2015	1447506671	0	3494	3494	3494
Sat Nov 14 14:11:08 2015	1447506668	0	3496	3496	3495
Sat Nov 14 14:11:11 2015	1447506671	0	3496	3496	3496
Sat Nov 14 14:10:54 2015	1447506654	0	3496	3496	3496
Sat Nov 14 14:10:54 2015	1447506654	0	3496	3496	3496
Sat Nov 14 14:11:11 2015	1447506671	0	3499	3499	3498
Sat Nov 14 14:10:50 2015	1447506650	0	3503	3503	3502
Sat Nov 14 14:10:54 2015	1447506654	0	3503	3503	3503
Sat Nov 14 14:10:50 2015	1447506650	0	3509	3509	3509
Sat Nov 14 14:10:54 2015	1447506654	0	3510	3510	3510
Sat Nov 14 14:11:01 2015	1447506661	0	3514	3514	3514
Sat Nov 14 14:11:01 2015	1447506661	0	3516	3516	3516
Sat Nov 14 14:10:43 2015	1447506643	7	3509	3516	3509
Sat Nov 14 14:11:07 2015	1447506667	0	3516	3517	3516
Sat Nov 14 14:10:57 2015	1447506657	0	3516	3517	3516
Sat Nov 14 14:11:04 2015	1447506664	0	3517	3517	3517
Sat Nov 14 14:11:01 2015	1447506661	0	3518	3518	3518
Sat Nov 14 14:11:12 2015	1447506672	0	3520	3520	3518
Sat Nov 14 14:11:05 2015	1447506665	0	3523	3523	3523
Sat Nov 14 14:10:50 2015	1447506650	0	3524	3524	3524
Sat Nov 14 14:11:08 2015	1447506668	0	3524	3524	3524
Sat Nov 14 14:10:43 2015	1447506643	1	3523	3525	3523
Sat Nov 14 14:11:08 2015	1447506668	0	3527	3528	3527
Sat Nov 14 14:10:50 2015	1447506650	0	3532	3532	3532
Sat Nov 14 14:11:08 2015	1447506668	0	3534	3534	3534
Sat Nov 14 14:10:50 2015	1447506650	0	3534	3534	3534
Sat Nov 14 14:11:01 2015	1447506661	0	3537	3537	3537
Sat Nov 14 14:11:07 2015	1447506667	0	3538	3538	3538
Sat Nov 14 14:10:57 2015	1447506657	0	3540	3540	3540
Sat Nov 14 14:11:08 2015	1447506668	0	3541	3541	3541
Sat Nov 14 14:11:08 2015	1447506668	0	3544	3544	3544
Sat Nov 14 14:10:50 2015	1447506650	0	3544	3544	3544
Sat Nov 14 14:11:00 2015	1447506660	0	3544	3545	3544
Sat Nov 14 14:11:05 2015	1447506665	0	3547	3547	3547
Sat Nov 14 14:10:57 2015	1447506657	0	3554	3555	3554
Sat Nov 14 14:11:01 2015	1447506661	0	3563	3563	3563
Sat Nov 14 14:11:01 2015	1447506661	0	3564	3564	3564
Sat Nov 14 14:10:57 2015	1447506657	0	3564	3564	3564
Sat Nov 14 14:11:01 2015	1447506661	0	3565	3565	3565
Sat Nov 14 14:10:57 2015	1447506657	0	3567	3568	3567
Sat Nov 14 14:11:08 2015	1447506668	0	3575	3575	3575
Sat Nov 14 14:10:57 2015	1447506657	0	3579	3579	3579
Sat Nov 14 14:11:01 2015	1447506661	0	3580	3580	3580
Sat Nov 14 14:11:01 2015	1447506661	0	3582	3582	3582
Sat Nov 14 14:10:47 2015	1447506647	0	3585	3585	3585
Sat Nov 14 14:10:57 2015	1447506657	0	3592	3592	3592
Sat Nov 14 14:10:47 2015	1447506647	0	3594	3594	3594
Sat Nov 14 14:10:58 2015	1447506658	0	3595	3595	3594
Sat Nov 14 14:10:43 2015	1447506643	2	3607	3608	3607
Sat Nov 14 14:10:57 2015	1447506657	0	3614	3614	3614
Sat Nov 14 14:10:57 2015	1447506657	0	3625	3625	3625
Sat Nov 14 14:10:47 2015	1447506647	0	3627	3627	3627
Sat Nov 14 14:10:43 2015	1447506643	7	3639	3645	3637
Sat Nov 14 14:10:47 2015	1447506647	0	3645	3646	3645
Sat Nov 14 14:10:43 2015	1447506643	1	3655	3655	3654
Sat Nov 14 14:10:43 2015	1447506643	7	3658	3665	3657
Sat Nov 14 14:10:43 2015	1447506643	1	3701	3701	3700
