starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 14 13:33:12 2015	1447504392	1	1619	1620	1616
Sat Nov 14 13:33:12 2015	1447504392	1	1660	1661	1660
Sat Nov 14 13:33:12 2015	1447504392	1	1692	1693	1692
Sat Nov 14 13:33:12 2015	1447504392	1	1753	1754	1753
Sat Nov 14 13:33:15 2015	1447504395	0	2918	2919	2918
Sat Nov 14 13:33:17 2015	1447504397	0	2926	2926	2926
Sat Nov 14 13:33:12 2015	1447504392	1	2966	2967	2966
Sat Nov 14 13:33:20 2015	1447504400	0	2973	2973	2973
Sat Nov 14 13:33:14 2015	1447504394	0	2986	2986	2986
Sat Nov 14 13:33:21 2015	1447504401	0	2994	2994	2994
Sat Nov 14 13:33:22 2015	1447504402	0	2996	2996	2996
Sat Nov 14 13:33:18 2015	1447504398	0	3002	3002	3001
Sat Nov 14 13:33:14 2015	1447504394	0	3010	3010	3010
Sat Nov 14 13:33:24 2015	1447504404	0	3023	3023	3023
Sat Nov 14 13:33:35 2015	1447504415	0	3035	3036	3035
Sat Nov 14 13:33:34 2015	1447504414	0	3046	3046	3046
Sat Nov 14 13:33:37 2015	1447504417	0	3046	3047	3046
Sat Nov 14 13:33:32 2015	1447504412	0	3050	3050	3050
Sat Nov 14 13:33:34 2015	1447504414	0	3057	3057	3057
Sat Nov 14 13:33:31 2015	1447504411	0	3062	3063	3062
Sat Nov 14 13:33:19 2015	1447504399	0	3066	3066	3066
Sat Nov 14 13:33:35 2015	1447504415	0	3067	3067	3067
Sat Nov 14 13:33:15 2015	1447504395	0	3073	3073	3073
Sat Nov 14 13:33:31 2015	1447504411	0	3076	3076	3075
Sat Nov 14 13:33:32 2015	1447504412	0	3079	3079	3079
Sat Nov 14 13:33:29 2015	1447504409	0	3090	3091	3090
Sat Nov 14 13:33:29 2015	1447504409	0	3091	3092	3091
Sat Nov 14 13:33:18 2015	1447504398	0	3097	3097	3097
Sat Nov 14 13:33:21 2015	1447504401	0	3099	3099	3099
Sat Nov 14 13:33:25 2015	1447504405	0	3102	3102	3102
Sat Nov 14 13:33:28 2015	1447504408	0	3103	3103	3103
Sat Nov 14 13:33:12 2015	1447504392	1	3102	3103	3102
Sat Nov 14 13:33:37 2015	1447504417	0	3123	3123	3123
Sat Nov 14 13:33:17 2015	1447504397	0	3135	3135	3135
Sat Nov 14 13:33:22 2015	1447504402	0	3136	3136	3136
Sat Nov 14 13:33:28 2015	1447504408	0	3149	3149	3149
Sat Nov 14 13:33:27 2015	1447504407	0	3153	3153	3153
Sat Nov 14 13:33:24 2015	1447504404	0	3154	3154	3154
Sat Nov 14 13:33:25 2015	1447504405	0	3193	3193	3192
Sat Nov 14 13:33:27 2015	1447504407	0	3208	3208	3208
Sat Nov 14 13:33:12 2015	1447504392	1	3246	3247	3246
Sat Nov 14 13:33:12 2015	1447504392	1	3267	3268	3267
Sat Nov 14 13:33:46 2015	1447504426	0	3335	3335	3335
Sat Nov 14 13:33:38 2015	1447504418	0	3370	3370	3370
Sat Nov 14 13:33:38 2015	1447504418	0	3396	3396	3396
Sat Nov 14 13:33:46 2015	1447504426	0	3486	3486	3486
Sat Nov 14 13:33:44 2015	1447504424	0	3617	3617	3617
Sat Nov 14 13:33:43 2015	1447504423	0	3647	3647	3646
Sat Nov 14 13:33:44 2015	1447504424	0	3711	3711	3711
Sat Nov 14 13:33:39 2015	1447504419	0	3790	3790	3790
Sat Nov 14 13:33:39 2015	1447504419	0	3841	3841	3841
Sat Nov 14 13:33:41 2015	1447504421	0	3880	3880	3880
Sat Nov 14 13:33:30 2015	1447504410	0	3918	3918	3918
Sat Nov 14 13:33:21 2015	1447504401	0	3945	3945	3945
Sat Nov 14 13:33:31 2015	1447504411	0	3947	3947	3947
Sat Nov 14 13:33:16 2015	1447504396	0	3947	3948	3947
